AARS2	AARSD1	ABCA7	ABCE1	ABCF1	ABTB1	ACO1	ADRB2	AGO1	AGO2	AGO3	AGO4	AIMP1	AIMP2	AKT1	AKT2	ALKBH1	AMBRA1	AMFR	ANG	APOD	APP	ATF3	ATF4	ATF6	ATG13	ATG14	ATG5	AUP1	BAG3	BAG5	BAK1	BARHL2	BAX	BCAP31	BCL3	BECN1	BFAR	BHLHA15	BNIP3	BOK	BTG2	CALCOCO2	CALR	CALR3	CANX	CAPRIN1	CAPRIN2	CARS2	CASC3	CCND1	CDC37	CDK4	CDKAL1	CELF1	CHCHD1	CIRBP	CLGN	CNBP	CNOT1	CNOT10	CNOT11	CNOT2	CNOT3	CNOT6	CNOT7	CNOT8	CNOT9	COA3	COPS5	CPEB1	CPEB2	CPEB3	CPEB4	CREB3	CREBRF	CTIF	CTTN	CYFIP1	DALRD3	DAPK1	DAPK3	DARS2	DDIT3	DDRGK1	DDX25	DDX6	DENR	DERL1	DERL2	DERL3	DHFR	DHX29	DHX33	DHX36	DHX9	DNAJC1	DNAJC3	DND1	DPH1	DPH2	DPH3	DPH5	DPH6	DPH7	DRG1	DRG2	EARS2	EDEM1	EDEM2	EEF2	EEFSEC	EFL1	EGFR	EIF1	EIF5	EIF6	ELAVL1	ENC1	EP300	ERBB2	ERLEC1	ERMP1	ERN1	ERN2	ETF1	FAF2	FARS2	FARSA	FARSB	FASTKD2	FASTKD3	FBXO7	FBXW7	FICD	FMR1	FOXO3	FTO	FTSJ1	FXR1	FXR2	GATB	GATC	GCN1	GEMIN5	GFM1	GFM2	GGT1	GGT5	GGT7	GIGYF2	GLE1	GRB7	GRM5	GSPT1	GSPT2	GTPBP1	GTPBP2	GUF1	HABP4	HARS2	HDAC6	HERPUD1	HERPUD2	HNRNPD	HNRNPR	HSPA5	HSPA8	HSPB8	HTRA2	HTT	HUWE1	IARS2	IGFBP5	IGHMBP2	ILF3	IMPACT	IREB2	IRX3	ISG15	ITGA2	JMJD4	KBTBD8	KHDRBS1	KHSRP	KLHL25	KRT17	LAMP2	LARP1	LARP4	LARP6	LARS2	LGALS8	LRPPRC	LRSAM1	LTN1	MAGOH	MALSU1	MAPK1	MAPK3	MAPKAPK5	MARS1	MARS2	MCTS1	METTL14	METTL16	METTL17	METTL3	METTL5	MFN2	MKNK1	MKNK2	MOV10	MRPL1	MRPL10	MRPL11	MRPL12	MRPL13	MRPL14	MRPL15	MRPL16	MRPL17	MRPL18	MRPL19	MRPL2	MRPL20	MRPL21	MRPL22	MRPL23	MRPL24	MRPL27	MRPL3	MRPL30	MRPL32	MRPL33	MRPL34	MRPL35	MRPL36	MRPL37	MRPL39	MRPL4	MRPL41	MRPL43	MRPL44	MRPL47	MRPL49	MRPL51	MRPL52	MRPL55	MRPL57	MRPL58	MRPL9	MRPS10	MRPS11	MRPS12	MRPS14	MRPS15	MRPS16	MRPS17	MRPS2	MRPS21	MRPS23	MRPS25	MRPS27	MRPS30	MRPS34	MRPS35	MRPS5	MRPS6	MRPS7	MRPS9	MRRF	MTFMT	MTG1	MTG2	MTIF2	MTIF3	MTOR	MTRF1	NANOS1	NANOS2	NANOS3	NARS2	NAT10	NCBP1	NCBP2	NCK1	NCK2	NCL	NDUFA7	NEMF	NGDN	NGRN	NIBAN1	NKX2-2	NOA1	NOD1	NOD2	NPLOC4	NSUN3	NSUN5	NUFIP1	OGFOD1	OLIG2	OPTN	OS9	PAIP1	PAIP2	PARP16	PARS2	PATL2	PAX6	PCIF1	PDCL	PDIA6	PER1	PER2	PHB2	PINK1	PIWIL2	PIWIL4	PJVK	PKM	PLD1	PLXNB2	POLDIP3	PRKDC	PRKN	PRR16	PSTK	PTAFR	PTCD3	PTPN1	PTPN2	PUM1	PUM2	PUM3	PUS7	PYM1	QRSL1	RACK1	RARS2	RBM24	RBM4	RETREG1	RGS2	RHBDD1	RIDA	RIPK2	RMND1	RNF121	RNF126	RNF139	RNF41	ROCK1	ROCK2	RPL11	RPL13	RPL15	RPL19	RPL22	RPL23	RPL24	RPL26	RPL28	RPL29	RPL3	RPL30	RPL32	RPL34	RPL35	RPL36	RPL37	RPL38	RPL4	RPL6	RPL7	RPL8	RPLP0	RPLP1	RPLP2	RPS11	RPS13	RPS14	RPS15	RPS16	RPS17	RPS18	RPS19	RPS2	RPS21	RPS28	RPS5	RPS6	RPS7	RPS8	RPS9	RPUSD3	RPUSD4	RWDD1	SARNP	SARS2	SECISBP2	SELENOS	SEPSECS	SERP1	SERP2	SESN2	SHFL	SHMT1	SHMT2	SMURF1	SOX4	SPTLC1	SPTLC2	SQSTM1	SRBD1	SREBF1	SRP9	ST13	STAT3	STBD1	STING1	STUB1	SVIP	SYNCRIP	SYVN1	TACO1	TARBP2	TARDBP	TARS2	TBK1	TBL2	TCOF1	TEX264	THBS1	TIA1	TIGAR	TMA7	TMED2	TMEM129	TMEM33	TMTC4	TOB1	TOMM7	TPR	TRAP1	TRIM71	TRUB2	TSC1	TSFM	TSPO	TUFM	TYMS	UBA5	UBA52	UBAC2	UBQLN1	UCN	UFC1	UFD1	UFL1	UFM1	UHMK1	UNK	UPF1	UQCC1	UQCC2	USP16	USP30	VAPB	VARS2	VCP	VDAC1	VIM	WARS2	WDFY3	WDR81	WFS1	WIPI2	XBP1	XRN1	YARS2	YBX2	YOD1	YTHDF1	YTHDF2	YTHDF3	ZAR1	ZCCHC4	ZFP36
359	72	499	393	329	144	455	170	144	359	438	328	249	329	438	41	303	15	438	455	328	327	501	503	438	15	303	353	41	26	303	353	72	503	327	438	438	41	299	299	501	15	170	500	249	327	502	289	509	72	34	498	329	329	329	41	328	328	329	329	353	353	41	34	72	69	289	329	72	247	455	26	438	438	173	438	438	26	329	170	34	173	329	438	438	328	15	249	303	328	498	41	69	393	69	329	455	500	26	170	329	438	359	353	41	329	498	393	438	499	299	26	329	497	26	502	34	34	499	34	509	327	249	26	249	359	144	509	34	393	69	353	144	438	72	328	438	247	492	353	26	41	438	329	393	455	327	299	144	327	72	41	498	499	503	438	498	328	69	173	328	438	438	509	329	34	500	72	438	173	329	34	353	328	72	329	498	69	72	497	15	72	501	502	329	428	249	327	497	503	327	359	299	353	327	455	329	393	144	327	502	503	359	289	69	329	329	72	353	72	495	293	498	359	393	329	359	393	359	329	393	41	359	353	359	34	503	359	34	41	34	393	359	41	26	299	247	497	498	329	329	503	509	247	359	506	34	41	353	15	329	34	69	173	41	247	353	41	503	393	506	329	249	393	503	329	505	498	41	329	393	329	353	329	41	353	299	329	353	41	247	327	359	393	353	289	299	144	329	293	289	34	173	26	438	299	41	170	72	173	34	393	359	144	26	499	289	144	353	498	455	15	15	144	393	26	34	503	438	508	505	506	329	327	328	34	329	328	26	498	503	359	173	353	509	359	359	393	359	41	353	69	26	173	438	328	359	393	498	353	41	41	289	327	353	72	393	353	353	393	353	353	393	393	353	353	393	393	393	353	393	393	393	353	393	393	353	393	393	393	393	497	393	393	329	393	393	393	359	393	329	393	393	393	393	393	393	353	393	455	503	329	359	327	495	503	293	26	327	393	503	173	144	353	455	438	498	455	69	299	499	497	170	328	428	303	438	41	41	34	353	299	506	329	438	26	15	455	41	289	249	144	15	327	249	329	393	329	41	173	41	455	359	329	289	359	353	455	289	506	72	289	289	144	15	34	359	41	506	327	502	498	72	503	26	498	144	498	170	15	500	26	393	249	26	498	359	69	492	359	438
359	72	499	393	329	144	455	170	144	359	438	328	249	329	438	41	303	15	438	455	328	499	501	503	438	15	303	353	41	26	303	353	72	503	327	438	438	41	299	299	501	15	170	500	249	327	502	289	509	72	34	498	329	329	329	41	328	328	329	329	353	353	41	34	72	69	289	329	72	247	455	26	438	438	173	26	438	26	329	170	34	173	329	438	438	328	15	249	303	328	498	41	69	393	69	329	299	500	26	170	329	438	359	353	41	329	498	393	438	499	299	26	329	497	26	502	34	34	499	34	509	327	249	26	249	359	173	509	34	393	69	353	144	26	72	328	438	247	492	353	26	41	438	329	393	455	327	299	144	327	72	41	498	499	503	438	498	328	69	173	328	438	438	509	329	34	500	72	26	173	329	34	353	328	72	329	498	69	72	497	15	72	501	502	329	428	249	327	497	503	327	393	299	353	327	289	329	393	144	327	502	503	359	289	69	329	329	72	353	72	495	293	498	359	353	329	359	393	359	329	393	41	359	353	359	34	503	359	34	41	34	393	353	41	26	299	247	497	498	329	329	503	509	247	359	506	34	41	353	15	329	34	69	173	359	247	353	359	503	393	506	329	249	393	503	329	505	498	41	329	393	329	353	329	41	353	299	329	353	41	247	327	359	329	353	289	299	144	329	293	289	34	144	26	438	299	41	170	72	173	34	393	359	144	26	499	289	144	353	498	455	15	15	144	393	26	34	503	438	508	505	506	329	327	328	34	329	328	26	498	503	359	173	353	509	359	359	393	359	41	353	69	26	173	328	328	359	498	498	353	41	41	289	327	353	34	393	393	353	393	353	353	393	393	353	353	393	393	393	353	393	393	393	353	393	393	353	393	393	393	393	497	393	393	359	393	393	393	359	393	329	393	393	393	393	393	393	353	393	455	503	329	359	327	495	503	293	26	327	393	353	173	173	498	455	438	498	455	69	299	499	497	170	328	428	303	438	41	41	34	353	299	506	329	438	26	15	455	41	289	249	144	15	327	249	329	393	359	41	173	41	455	359	329	289	359	353	455	289	506	72	289	289	144	15	34	359	41	506	327	502	498	72	503	26	498	144	498	170	15	500	26	393	249	26	498	393	69	492	359	438
359	72	499	393	329	144	455	170	173	359	438	328	249	329	26	509	303	15	438	455	328	327	501	503	438	15	303	353	41	26	303	353	72	503	327	438	438	41	299	299	501	15	170	500	249	327	502	289	509	72	34	498	329	329	329	41	328	328	329	329	353	353	41	34	72	69	289	34	72	247	455	26	438	438	173	438	438	26	329	170	34	173	329	438	438	328	15	249	303	328	498	41	69	393	69	329	455	500	26	170	329	438	353	353	41	329	498	393	438	499	299	26	329	497	26	502	34	34	499	34	509	327	249	26	249	359	26	509	34	393	69	353	144	438	72	328	438	247	492	353	26	41	438	329	393	455	327	299	144	327	72	41	498	499	503	438	498	328	69	173	328	438	438	509	329	34	500	72	26	173	329	34	353	328	72	329	498	69	72	497	15	72	501	502	329	428	249	327	497	503	327	393	299	353	327	289	329	393	144	327	502	503	359	289	69	329	329	72	353	72	495	293	498	359	393	329	359	393	359	329	393	41	359	353	359	34	503	359	34	41	34	393	353	41	26	299	247	497	498	329	329	503	509	247	359	506	34	41	353	15	329	34	69	173	359	247	353	359	503	393	506	329	249	393	503	329	505	498	41	329	393	329	498	41	41	353	299	393	353	41	247	327	359	329	353	289	299	144	393	293	289	34	173	26	438	299	41	170	72	173	34	393	359	144	26	499	289	144	353	498	455	15	15	144	393	26	34	503	438	508	505	506	329	327	328	34	329	328	26	498	503	359	173	498	509	359	359	393	359	41	353	69	26	173	328	328	359	393	498	353	41	41	289	327	353	72	393	353	353	393	353	353	393	393	353	353	393	393	393	353	393	393	393	353	393	393	353	393	393	393	393	497	393	393	393	393	393	393	359	393	329	393	393	393	393	393	393	353	393	455	503	329	359	327	495	503	293	26	327	393	503	173	173	498	455	438	498	455	69	299	499	497	170	328	428	303	438	41	41	34	353	299	506	329	438	26	15	455	41	289	249	144	15	327	249	329	393	329	41	173	41	455	359	329	289	359	353	455	289	506	72	289	289	144	15	34	359	41	506	327	502	498	72	503	26	498	144	498	170	15	500	26	393	249	26	359	393	69	492	359	438
359	72	499	393	329	144	455	170	144	359	438	328	249	329	438	509	303	15	438	455	328	327	501	503	438	15	303	353	41	26	303	353	72	503	327	438	438	41	299	299	501	15	170	500	249	327	502	289	509	72	34	498	329	329	329	41	328	328	329	329	353	353	509	34	72	69	289	329	72	247	455	26	438	438	173	438	438	26	329	170	34	173	329	438	438	328	15	249	303	328	498	41	69	393	69	329	455	500	26	170	329	438	353	353	41	329	498	393	438	499	299	26	329	497	26	502	34	34	499	34	509	327	249	26	249	359	173	509	34	393	69	353	144	438	72	328	438	247	492	353	26	41	438	329	393	455	327	299	144	327	72	41	498	499	503	438	498	328	69	173	247	438	438	509	329	34	500	72	26	173	329	34	353	328	72	329	498	69	15	497	15	72	501	502	329	428	249	327	497	503	327	359	299	353	327	289	329	393	144	327	502	503	503	289	69	329	41	72	353	72	495	293	498	359	393	329	359	393	359	329	393	41	359	353	359	34	503	359	34	41	34	393	353	41	26	299	247	497	393	329	329	503	509	247	34	506	34	41	353	15	329	34	69	173	41	144	353	359	503	393	506	329	249	393	503	329	505	498	41	329	393	329	353	329	41	353	299	359	353	41	247	327	359	393	353	289	299	144	329	293	289	34	173	26	438	299	41	170	72	173	34	393	359	144	26	499	289	144	353	498	455	15	15	144	393	26	34	503	438	508	505	506	329	327	328	34	329	328	26	498	503	359	173	353	509	359	359	393	359	41	503	69	26	173	328	328	359	393	498	353	41	41	289	327	353	72	393	353	353	393	353	353	353	393	353	353	393	393	393	353	393	393	393	353	393	393	353	393	393	393	393	497	393	393	393	393	393	393	359	393	329	393	393	393	393	393	393	353	359	455	503	329	359	327	495	503	293	26	327	393	503	173	173	498	455	438	498	455	69	299	499	497	170	328	428	303	438	41	41	329	353	299	506	329	438	26	15	455	41	289	249	144	15	327	249	329	393	329	41	173	41	455	359	329	289	359	353	455	289	506	72	289	289	144	15	34	359	41	506	327	502	498	72	503	26	498	144	498	170	15	500	26	393	249	26	359	393	69	492	359	438
359	72	499	393	329	144	455	170	144	359	438	328	249	329	438	509	303	15	438	455	328	327	501	503	438	15	303	353	41	26	303	353	72	503	327	438	328	41	299	299	501	15	170	500	249	327	502	289	509	72	34	498	329	329	329	41	328	328	329	329	353	353	41	34	72	69	289	329	72	247	455	438	438	438	173	26	438	26	329	170	34	173	329	438	438	328	15	249	303	328	498	41	69	393	69	329	455	500	26	170	329	438	353	353	41	329	498	393	26	499	299	26	329	497	26	502	34	34	499	34	509	327	249	26	249	503	26	509	34	393	69	353	144	438	72	328	438	247	492	353	26	41	438	329	393	455	327	299	173	327	72	41	498	499	503	438	498	328	69	173	247	438	438	509	329	34	500	72	438	173	329	34	353	328	72	329	498	69	15	497	15	72	501	72	329	428	249	327	497	503	327	393	299	353	327	455	329	393	144	327	502	503	359	289	69	329	329	72	353	72	495	293	498	359	393	329	359	393	359	329	393	41	359	353	359	34	503	329	34	41	34	393	353	41	26	299	247	497	393	329	329	503	509	247	34	506	34	41	498	15	329	34	69	173	41	144	353	359	503	393	506	329	249	393	503	329	505	498	41	329	393	329	353	329	41	353	299	329	353	41	247	327	359	393	353	289	299	144	393	293	289	34	173	26	438	299	41	170	72	173	34	393	359	144	26	499	289	144	353	498	455	15	15	144	359	26	34	503	438	508	505	506	329	327	328	34	329	328	26	498	503	359	173	353	509	359	359	393	359	41	353	69	26	173	328	328	359	393	498	353	41	41	289	327	353	72	393	353	353	393	353	353	393	393	353	353	393	393	393	353	393	393	393	353	393	393	353	393	393	393	393	497	393	393	393	393	393	393	359	393	359	393	393	393	393	393	393	353	393	455	503	41	359	327	495	503	293	26	327	393	353	173	173	498	455	438	498	455	69	299	499	497	170	328	428	303	438	41	41	34	353	299	506	329	438	26	15	455	41	289	249	144	15	327	249	329	393	329	41	173	41	455	359	329	289	359	353	455	289	506	72	289	289	144	15	34	359	41	506	327	502	498	72	503	26	498	144	498	170	15	500	26	393	249	26	359	393	69	492	359	438
359	72	499	393	329	144	455	170	144	359	438	328	249	329	438	41	303	15	438	455	328	327	501	503	438	15	303	353	41	26	303	353	72	503	327	438	328	41	299	299	501	15	170	500	249	327	502	289	509	72	34	41	329	329	329	41	328	328	329	329	353	353	41	34	72	69	289	329	72	247	455	26	438	438	173	438	438	26	329	170	34	173	329	438	438	328	15	249	303	328	498	41	69	393	69	329	455	500	26	170	329	438	353	353	41	329	498	393	438	499	299	26	329	497	26	502	34	34	499	34	509	327	249	26	249	359	26	509	34	393	69	353	144	438	72	328	438	247	492	353	26	41	438	329	393	455	327	299	173	327	72	41	498	499	503	438	498	328	69	173	247	438	438	509	329	34	500	72	438	173	34	34	353	328	72	329	498	69	15	497	15	72	501	72	329	428	249	327	497	503	327	393	299	353	327	455	329	393	144	327	502	503	359	289	69	329	329	72	353	72	495	293	498	359	393	329	359	393	359	329	393	41	359	353	359	34	503	359	34	41	34	393	353	41	26	299	247	497	393	329	329	503	509	247	34	249	34	41	498	15	329	34	69	173	41	144	353	41	503	393	506	329	249	393	503	329	505	498	41	329	393	329	498	329	41	353	299	329	353	41	247	327	359	329	353	289	299	144	393	293	289	34	173	26	438	299	41	170	72	173	34	393	359	144	26	499	289	144	353	498	455	15	15	144	359	26	34	503	438	508	505	506	329	327	328	34	329	328	26	498	503	359	173	353	509	359	359	393	359	41	353	69	26	173	328	328	359	393	498	353	41	41	289	327	353	72	393	353	353	393	353	353	353	393	353	353	393	393	393	353	393	353	393	353	393	393	353	393	393	393	393	497	393	393	393	393	393	393	359	393	329	393	393	393	393	393	393	353	393	455	503	329	359	327	495	503	293	26	327	393	353	173	173	498	455	438	498	455	69	299	499	497	170	328	428	303	438	41	509	329	353	299	506	329	438	26	15	455	41	289	249	144	15	327	249	329	393	329	41	173	498	455	359	329	289	359	353	455	289	506	72	289	289	144	15	72	359	41	506	327	502	498	72	503	26	353	144	498	170	15	500	26	393	249	26	359	359	69	492	359	438
359	72	499	393	329	144	455	170	144	359	26	328	249	329	438	41	303	15	438	455	328	327	501	503	438	15	303	353	41	26	303	353	72	503	327	438	328	41	299	299	501	15	170	500	249	327	502	289	509	72	34	41	329	329	329	41	328	328	329	329	353	353	41	34	72	69	289	34	72	247	455	26	438	438	173	26	438	26	329	170	34	173	329	438	438	328	15	249	303	328	498	41	69	393	69	329	455	500	26	170	329	438	353	353	41	34	498	393	438	499	299	26	329	497	26	502	34	34	499	34	509	327	249	26	249	359	144	509	34	393	69	353	144	438	72	328	438	247	492	353	26	41	438	329	393	455	327	299	173	327	72	41	498	499	503	438	498	328	69	173	328	438	438	509	329	34	500	72	26	173	329	34	353	328	72	34	498	69	72	497	15	72	501	72	329	428	249	327	72	503	327	393	299	353	327	455	329	393	144	327	502	503	359	289	69	329	329	72	353	72	495	293	498	359	393	329	359	393	359	329	393	41	41	353	359	34	503	359	34	41	34	359	353	41	26	299	247	497	393	329	34	503	509	247	34	249	34	41	498	15	359	34	69	173	41	144	353	359	503	393	506	329	249	393	503	329	505	498	41	329	393	329	353	329	41	353	299	329	353	41	247	327	359	393	353	289	299	144	393	293	289	34	173	26	438	299	41	170	72	173	34	393	359	144	26	499	289	144	353	498	455	15	15	144	393	26	34	503	438	508	505	506	329	327	328	34	329	328	26	498	503	359	173	353	509	359	359	393	359	41	353	69	26	173	328	328	359	498	498	353	41	41	289	327	353	72	393	353	353	393	353	353	353	393	353	353	393	393	393	353	393	393	393	353	359	393	353	393	393	393	393	497	393	393	329	393	393	393	359	393	329	393	393	393	393	393	393	353	393	289	503	329	34	438	495	503	293	26	327	393	353	173	173	498	455	438	498	455	69	299	499	497	170	328	428	303	438	41	509	329	353	299	506	329	438	26	15	455	41	289	249	144	15	327	249	329	393	329	41	173	41	455	359	329	289	359	353	455	289	506	72	289	289	144	15	72	359	41	506	327	502	498	72	503	26	353	144	498	170	15	500	26	393	249	26	498	359	69	492	359	438
359	72	499	393	329	144	455	170	144	359	438	328	249	329	438	509	303	15	438	455	510	327	501	503	438	15	303	353	41	26	303	353	72	503	327	438	328	41	299	299	501	15	170	500	249	327	502	289	509	72	34	41	329	329	329	41	328	328	329	329	353	353	41	34	72	69	289	34	72	247	455	26	438	438	173	26	438	26	329	170	34	173	329	438	438	328	15	249	303	328	498	41	69	393	69	329	455	500	26	170	329	438	353	353	41	34	498	393	438	499	299	26	329	497	26	502	34	34	499	34	509	327	249	26	249	359	26	509	34	393	69	353	144	438	72	328	438	247	492	353	26	41	438	329	393	455	327	299	173	327	72	41	498	499	503	438	498	328	69	173	328	438	438	509	329	34	500	72	26	173	329	34	353	328	72	34	498	69	72	497	15	72	501	502	329	428	249	438	72	503	327	393	299	353	327	455	329	393	144	327	502	503	359	289	69	329	329	72	353	72	495	293	498	359	393	329	359	393	359	329	393	41	41	353	359	34	503	359	34	41	34	393	353	41	26	299	247	497	393	329	329	503	509	247	34	249	34	41	353	15	329	34	69	173	359	144	353	359	503	393	506	329	249	393	503	329	505	498	41	329	393	329	353	329	41	353	299	329	353	41	247	327	359	329	353	289	299	144	393	293	289	34	173	26	438	299	41	170	72	173	34	393	359	144	26	499	327	144	353	498	455	15	15	144	393	26	34	503	438	508	505	506	329	327	328	34	329	328	26	498	503	359	173	353	509	359	359	393	393	41	353	69	26	173	328	328	359	498	498	353	41	41	289	327	353	72	393	353	353	393	353	353	393	393	353	353	393	393	393	353	393	393	393	353	359	393	353	393	393	393	393	497	393	393	393	393	393	393	359	393	329	393	393	393	393	393	393	353	393	455	503	41	359	327	495	503	293	26	327	393	353	173	173	498	455	438	498	455	69	299	499	497	170	328	428	303	438	41	509	34	353	299	506	329	438	26	15	455	41	289	249	144	15	327	249	329	393	329	41	173	41	455	359	329	289	359	353	455	289	506	72	289	289	144	15	72	359	41	506	327	502	498	72	503	26	353	144	498	170	15	500	26	393	249	26	498	393	69	492	359	438
359	72	499	393	329	144	455	170	144	359	438	328	249	329	438	509	303	15	438	455	510	327	501	503	438	15	303	353	41	26	303	353	72	503	327	438	328	41	299	299	501	15	170	500	249	327	502	289	509	72	34	498	329	329	329	41	328	328	329	329	353	353	41	34	72	69	289	34	72	247	455	438	438	438	173	26	438	26	329	170	34	173	329	438	438	328	15	249	303	328	498	41	69	393	69	329	455	500	26	170	329	438	353	353	41	329	498	393	438	499	299	26	329	497	26	502	34	34	499	34	509	327	249	26	249	359	173	509	34	393	69	353	144	438	72	328	438	247	492	353	26	41	438	329	393	455	327	299	173	327	72	41	498	499	503	438	498	328	69	173	328	438	438	509	329	34	500	72	26	173	34	34	353	328	72	34	498	69	72	497	15	72	501	502	329	428	249	327	72	503	327	393	299	353	327	455	329	393	144	327	502	503	359	289	69	329	329	72	353	72	495	293	498	359	393	329	359	393	359	329	393	41	359	353	359	34	503	329	34	41	34	359	353	41	26	299	247	497	393	329	34	503	509	247	34	506	34	41	353	15	359	34	69	173	41	144	353	359	503	393	506	329	249	393	503	329	505	498	41	329	393	329	353	329	41	353	299	329	353	41	247	327	359	329	353	289	299	144	329	293	289	34	173	26	438	299	41	170	72	173	34	393	359	144	26	499	289	144	353	498	455	15	15	144	359	26	34	503	438	508	505	506	329	327	328	34	329	328	26	498	503	359	144	353	509	359	359	393	359	41	353	69	26	173	328	328	359	498	498	353	41	41	289	327	353	72	393	353	353	393	353	353	353	393	353	353	393	393	393	353	393	393	393	353	393	393	353	393	393	393	393	497	393	393	329	393	393	393	359	393	329	393	393	393	393	393	393	353	393	455	503	329	359	438	495	503	293	26	327	393	503	173	173	498	26	438	498	455	69	299	499	497	170	328	428	303	438	41	509	34	353	299	506	393	438	26	15	455	41	289	249	144	15	327	249	329	393	329	41	173	41	455	359	329	289	359	353	455	289	506	72	289	289	144	15	72	359	41	506	327	502	498	72	503	26	353	144	498	170	15	500	26	393	249	26	359	393	69	492	359	438
359	72	499	393	329	144	455	170	144	359	438	328	249	329	438	509	303	15	438	455	510	327	501	503	438	15	303	353	41	26	303	353	72	503	327	438	328	41	299	299	501	15	170	500	249	327	502	289	509	72	34	498	41	329	329	41	328	328	329	329	353	353	41	34	72	69	289	34	72	247	455	26	438	438	173	26	438	26	34	170	34	173	329	438	438	328	15	249	303	328	498	41	69	393	69	329	455	500	26	170	329	438	359	353	41	329	498	393	438	499	299	26	329	497	26	502	34	34	499	34	509	327	249	26	249	353	173	509	34	393	69	353	144	438	72	328	438	247	492	353	26	41	438	329	393	455	327	299	173	327	72	41	498	499	503	438	498	328	69	173	328	438	438	509	329	34	500	72	26	173	34	34	353	328	72	34	498	69	72	497	15	72	505	502	329	428	249	327	72	503	327	359	299	353	327	455	329	393	144	327	502	503	359	289	69	329	329	72	353	72	495	293	498	359	393	329	359	393	359	329	393	41	359	353	359	34	503	359	34	41	34	359	353	41	26	299	247	497	393	329	34	503	509	247	34	506	34	41	353	15	329	34	69	173	359	247	353	359	503	393	506	329	249	393	503	329	505	498	41	329	393	329	353	329	41	353	299	329	353	41	247	327	359	329	353	289	299	144	329	293	289	34	173	26	438	299	41	170	72	173	34	393	359	144	26	499	289	144	353	498	455	15	15	144	393	26	34	503	438	508	505	506	329	327	328	34	329	328	26	498	503	359	144	353	509	359	329	393	359	41	503	69	26	173	328	328	359	353	498	353	41	41	289	327	353	72	393	393	353	393	353	353	393	393	353	353	393	393	393	353	393	393	393	353	393	393	353	393	393	393	393	497	393	393	359	393	393	393	359	393	329	393	393	393	393	393	393	353	393	455	503	329	359	438	495	359	293	26	327	393	353	173	173	498	26	438	498	455	69	299	499	497	170	328	428	303	438	41	41	34	353	299	506	329	438	26	15	455	41	289	249	144	15	327	249	329	393	329	41	173	41	455	359	329	289	359	353	455	170	506	72	289	289	144	15	34	359	41	506	327	502	498	72	503	26	353	144	498	170	15	500	26	393	249	26	359	393	69	492	359	438
359	72	499	393	329	144	455	170	144	359	438	328	249	329	438	509	303	15	438	455	510	327	501	503	438	15	303	353	41	26	303	353	72	503	327	438	328	41	299	299	501	15	170	500	249	327	502	289	509	72	34	498	329	329	329	41	328	328	329	329	353	353	41	34	72	69	289	34	72	247	455	26	438	26	173	26	438	26	329	170	34	173	329	438	438	328	15	249	303	328	498	41	69	359	69	329	455	500	26	170	329	438	359	353	41	34	498	393	438	499	299	26	329	497	26	502	34	34	499	34	509	327	249	26	249	359	173	509	34	393	69	353	144	438	72	328	438	247	492	353	26	41	438	329	393	455	327	299	173	327	72	41	498	499	503	438	498	328	69	173	247	438	438	509	329	34	500	72	26	173	34	34	353	328	72	34	498	69	72	497	15	72	505	502	329	428	249	438	497	503	327	393	299	353	327	289	329	393	144	327	502	503	359	289	69	329	329	72	353	72	495	293	498	359	393	329	359	393	359	329	393	41	359	353	359	34	503	359	34	41	34	393	353	41	26	299	247	497	393	329	329	503	41	247	34	506	34	41	353	15	359	34	69	173	41	247	353	359	503	393	506	329	249	393	503	329	505	498	41	329	393	329	353	329	41	353	299	359	353	41	247	327	359	329	353	289	299	144	329	293	289	34	173	26	438	299	41	170	72	173	34	393	359	144	26	499	289	144	353	498	455	15	15	144	393	26	34	503	438	508	505	506	329	327	328	34	329	328	26	498	503	359	144	353	509	359	359	393	359	41	503	69	26	173	328	328	359	498	498	353	41	41	289	327	353	72	393	393	353	393	353	353	393	393	353	353	393	393	393	353	393	393	393	353	393	393	353	393	393	393	393	497	393	393	329	393	393	393	359	393	329	393	393	393	393	393	393	353	393	455	503	329	359	438	495	503	293	26	327	393	503	173	173	498	26	438	498	455	69	299	499	497	170	328	428	303	438	41	41	34	353	299	506	359	438	26	15	455	41	289	249	144	15	327	249	329	393	359	41	173	41	455	359	329	289	359	353	26	170	506	72	289	289	144	15	72	359	41	506	327	502	498	72	503	26	353	144	498	170	15	500	26	393	249	26	359	359	69	492	359	438
